symbol,symbol_name,candidate_ids,candidate_id_count,raw_symbols,condition_name,candidate_role,first_detected_at,last_detected_at,capture_price,candidate_registered_at,last_candidate_event,last_time_policy_at,last_time_policy_reason,last_time_policy_source,time_policy_eval_count,last_evaluated_at,momentum_count,final_count,join_key,join_status,missing_reason,expected_next_step,is_bug_or_expected
000240,한국앤컴퍼니,5bccc5c2a88e4bb4bb26a8118c473e08,1,000240,단테떡상이;단테떡상이_수정,analysis_only,2026-05-15 12:31:06,2026-05-15 12:36:51,25050,2026-05-15 12:31:10,candidate_lifecycle_summary,2026-05-15 12:36:51,ALLOW_CANDIDATE_CAPTURE,condition_detected,14,,0,0,5bccc5c2a88e4bb4bb26a8118c473e08,candidate_id,registered_but_no_momentum_event,inspect eval loop scheduling/log emission,needs_investigation
003280,흥아해운,,0,003280,단테떡상이_수정,analysis_only,2026-05-15 11:01:39,2026-05-15 11:06:06,,,,2026-05-15 11:06:06,ALLOW_MANAGE_ONLY,condition_detected,9,,0,0,003280,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
003350,한국화장품제조,f9bb1b15b84c4ac28a5f840c241e3fcb,1,003350,단테떡상이;단테떡상이_수정,analysis_only,2026-05-15 10:48:27,2026-05-15 11:05:07,10300,2026-05-15 11:02:37,candidate_lifecycle_summary,2026-05-15 11:05:07,ALLOW_CANDIDATE_CAPTURE,condition_detected,5,,0,0,f9bb1b15b84c4ac28a5f840c241e3fcb,candidate_id,registered_but_no_momentum_event,inspect eval loop scheduling/log emission,needs_investigation
004370,농심,bda4db3727cf46a99028cb4a3f62c276,1,004370,단테떡상이;단테떡상이_수정,analysis_only,2026-05-15 14:26:02,2026-05-15 14:29:36,406000,2026-05-15 14:27:00,candidate_lifecycle_summary,2026-05-15 14:29:36,BLOCK_AFTER_ENTRY_CUTOFF,condition_detected,10,,0,0,bda4db3727cf46a99028cb4a3f62c276,candidate_id,time_policy_block_BLOCK_AFTER_ENTRY_CUTOFF,keep as time policy block; no order,expected_policy
005010,휴스틸,,0,005010,단테떡상이_수정,analysis_only,2026-05-15 12:44:54,2026-05-15 12:49:52,,,,2026-05-15 12:49:52,ALLOW_MANAGE_ONLY,condition_detected,3,,0,0,005010,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
005950,이수화학,18624277a5bf4b948a9ebe2fb6a0cfa3,1,005950,단테떡상이;단테떡상이_수정,analysis_only,2026-05-15 11:22:50,2026-05-15 11:26:16,10960,2026-05-15 11:22:50,candidate_registered,2026-05-15 11:26:16,ALLOW_MANAGE_ONLY,condition_detected,6,,0,0,18624277a5bf4b948a9ebe2fb6a0cfa3,candidate_id,time_policy_block_ALLOW_MANAGE_ONLY,keep as time policy block; no order,expected_policy
007340,DN오토모티브,,0,007340,단테떡상이_수정,analysis_only,2026-05-15 11:04:37,2026-05-15 11:04:47,,,,2026-05-15 11:04:47,ALLOW_MANAGE_ONLY,condition_detected,2,,0,0,007340,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
018880,한온시스템,e77b43cd724e49609fc497e8e8064b47,1,018880,단테떡상이_수정,trading,2026-05-15 09:00:22,2026-05-15 09:06:23,5130,2026-05-15 09:00:22,candidate_lifecycle_summary,2026-05-15 09:06:23,ALLOW_CANDIDATE_CAPTURE,condition_detected,9,,0,0,e77b43cd724e49609fc497e8e8064b47,candidate_id,registered_but_no_momentum_event,inspect eval loop scheduling/log emission,needs_investigation
024060,흥구석유,87f6d699a5b34245a23b12fe42b5ab1c,1,024060,단테떡상이;단테떡상이_수정,analysis_only,2026-05-15 11:02:08,2026-05-15 11:19:30,15160,2026-05-15 11:13:16,candidate_duplicate_refresh,2026-05-15 11:19:30,ALLOW_MANAGE_ONLY,condition_detected,14,,0,0,87f6d699a5b34245a23b12fe42b5ab1c,candidate_id,time_policy_block_ALLOW_MANAGE_ONLY,keep as time policy block; no order,expected_policy
030000,제일기획,,0,030000,단테떡상이_수정,analysis_only,2026-05-15 12:31:43,2026-05-15 12:46:42,,,,2026-05-15 12:46:42,ALLOW_MANAGE_ONLY,condition_detected,11,,0,0,030000,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
030190,NICE평가정보,,0,030190,단테떡상이_수정,analysis_only,2026-05-15 12:47:56,2026-05-15 12:47:56,,,,2026-05-15 12:47:56,ALLOW_MANAGE_ONLY,condition_detected,1,,0,0,030190,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
031330,에스에이엠티,66ceae28fd0d45b1a1c570b78dbc0ad5;ef658edf2982467f98201ccbe5a89ba5,2,031330,단테떡상이,analysis_only,2026-05-15 11:29:21,2026-05-15 11:34:57,14300,2026-05-15 11:29:21,candidate_lifecycle_summary,2026-05-15 11:34:57,ALLOW_CANDIDATE_CAPTURE,condition_detected,3,,0,0,66ceae28fd0d45b1a1c570b78dbc0ad5;ef658edf2982467f98201ccbe5a89ba5,candidate_id,registered_but_no_momentum_event,inspect eval loop scheduling/log emission,needs_investigation
037460,삼지전자,17f274dd91eb4605b455c40076271e2f;f7631dc3f63d4641a980df1b7bc97648,2,037460,단테떡상이;단테떡상이_수정,analysis_only,2026-05-15 11:27:33,2026-05-15 11:34:57,40800,2026-05-15 11:27:47,candidate_lifecycle_summary,2026-05-15 11:34:57,ALLOW_CANDIDATE_CAPTURE,condition_detected,3,,0,0,17f274dd91eb4605b455c40076271e2f;f7631dc3f63d4641a980df1b7bc97648,candidate_id,registered_but_no_momentum_event,inspect eval loop scheduling/log emission,needs_investigation
041510,에스엠,,0,041510,단테떡상이_수정,analysis_only,2026-05-15 12:31:00,2026-05-15 12:31:00,,,,2026-05-15 12:31:00,ALLOW_MANAGE_ONLY,condition_detected,1,,0,0,041510,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
052900,KX하이텍,78a31b485f82407bb2aac61102741fcc,1,052900,단테떡상이;단테떡상이_수정,analysis_only,2026-05-15 10:39:40,2026-05-15 10:52:29,1810,2026-05-15 10:39:41,candidate_lifecycle_summary,2026-05-15 10:52:29,ALLOW_CANDIDATE_CAPTURE,condition_detected,8,,0,0,78a31b485f82407bb2aac61102741fcc,candidate_id,registered_but_no_momentum_event,inspect eval loop scheduling/log emission,needs_investigation
053610,프로텍,,0,053610,단테떡상이_수정,analysis_only,2026-05-15 14:23:51,2026-05-15 14:23:51,,,,2026-05-15 14:23:51,BLOCK_AFTER_ENTRY_CUTOFF,condition_detected,1,,0,0,053610,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
066570,LG전자,5c88901a66064072940998b935b4144b,1,066570,단테떡상이,analysis_only,2026-05-15 09:02:19,2026-05-15 09:02:19,266000,2026-05-15 09:02:19,candidate_lifecycle_summary,2026-05-15 09:02:19,ALLOW_CANDIDATE_CAPTURE,condition_detected,1,,0,0,5c88901a66064072940998b935b4144b,candidate_id,registered_but_no_momentum_event,inspect eval loop scheduling/log emission,needs_investigation
077500,유니퀘스트,4fdff15e24d74cfbb33f072de1ea7c8d,1,077500,단테떡상이;단테떡상이_수정,analysis_only,2026-05-15 11:40:34,2026-05-15 11:40:34,8360,2026-05-15 11:40:34,candidate_lifecycle_summary,2026-05-15 11:40:34,ALLOW_MANAGE_ONLY,condition_detected,2,,0,0,4fdff15e24d74cfbb33f072de1ea7c8d,candidate_id,time_policy_block_ALLOW_MANAGE_ONLY,keep as time policy block; no order,expected_policy
081660,미스토홀딩스,,0,081660,단테떡상이_수정,analysis_only,2026-05-15 10:37:57,2026-05-15 11:14:43,,,,2026-05-15 11:14:43,ALLOW_MANAGE_ONLY,condition_detected,7,,0,0,081660,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
086980,쇼박스,a54de33cc8b548bb993654b62764726c,1,086980,단테떡상이;단테떡상이_수정,analysis_only,2026-05-15 12:07:34,2026-05-15 12:07:34,3165,2026-05-15 12:07:34,candidate_lifecycle_summary,2026-05-15 12:07:34,ALLOW_CANDIDATE_CAPTURE,condition_detected,2,,0,0,a54de33cc8b548bb993654b62764726c,candidate_id,registered_but_no_momentum_event,inspect eval loop scheduling/log emission,needs_investigation
092790,넥스틸,,0,092790,단테떡상이_수정,analysis_only,2026-05-15 12:38:52,2026-05-15 12:38:52,,,,2026-05-15 12:38:52,ALLOW_MANAGE_ONLY,condition_detected,1,,0,0,092790,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
122870,와이지엔터테인먼트,,0,122870,단테떡상이_수정,analysis_only,2026-05-15 12:48:16,2026-05-15 12:49:40,,,,2026-05-15 12:49:40,ALLOW_MANAGE_ONLY,condition_detected,2,,0,0,122870,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
126600,BGF에코머티리얼즈,,0,126600,단테떡상이_수정,analysis_only,2026-05-15 10:56:20,2026-05-15 10:56:20,,,,2026-05-15 10:56:20,ALLOW_MANAGE_ONLY,condition_detected,1,,0,0,126600,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
136490,선진,,0,136490,단테떡상이_수정,analysis_only,2026-05-15 12:44:20,2026-05-15 12:45:12,,,,2026-05-15 12:45:12,ALLOW_MANAGE_ONLY,condition_detected,2,,0,0,136490,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
138930,BNK금융지주,,0,138930,단테떡상이_수정,analysis_only,2026-05-15 12:44:00,2026-05-15 12:44:24,,,,2026-05-15 12:44:24,ALLOW_MANAGE_ONLY,condition_detected,4,,0,0,138930,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
141080,리가켐바이오,,0,141080,단테떡상이_수정,analysis_only,2026-05-15 11:57:47,2026-05-15 12:03:42,,,,2026-05-15 12:03:42,ALLOW_MANAGE_ONLY,condition_detected,9,,0,0,141080,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
161390,한국타이어앤테크놀로지,,0,161390,단테떡상이_수정,analysis_only,2026-05-15 12:48:00,2026-05-15 12:48:45,,,,2026-05-15 12:48:45,ALLOW_MANAGE_ONLY,condition_detected,8,,0,0,161390,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
187870,디바이스,29e2c4f20fd44ac9a294edec9edadb5e,1,187870,단테떡상이;단테떡상이_수정,analysis_only,2026-05-15 10:52:37,2026-05-15 11:19:57,29250,2026-05-15 10:52:37,candidate_lifecycle_summary,2026-05-15 11:19:57,ALLOW_MANAGE_ONLY,condition_detected,5,,0,0,29e2c4f20fd44ac9a294edec9edadb5e,candidate_id,time_policy_block_ALLOW_MANAGE_ONLY,keep as time policy block; no order,expected_policy
189300,인텔리안테크,,0,189300,단테떡상이_수정,analysis_only,2026-05-15 11:59:39,2026-05-15 12:03:00,,,,2026-05-15 12:03:00,ALLOW_MANAGE_ONLY,condition_detected,4,,0,0,189300,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
192080,더블유게임즈,,0,192080,단테떡상이_수정,analysis_only,2026-05-15 12:38:25,2026-05-15 12:49:36,,,,2026-05-15 12:49:36,ALLOW_MANAGE_ONLY,condition_detected,7,,0,0,192080,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
214320,이노션,a119029485834189b9de95d229066767,1,214320,단테떡상이;단테떡상이_수정,analysis_only,2026-05-15 12:39:30,2026-05-15 12:39:31,21050,2026-05-15 12:39:31,candidate_lifecycle_summary,2026-05-15 12:39:31,ALLOW_CANDIDATE_CAPTURE,condition_detected,2,,0,0,a119029485834189b9de95d229066767,candidate_id,registered_but_no_momentum_event,inspect eval loop scheduling/log emission,needs_investigation
253840,수젠텍,,0,253840,단테떡상이_수정,analysis_only,2026-05-15 11:20:31,2026-05-15 11:23:20,,,,2026-05-15 11:23:20,ALLOW_MANAGE_ONLY,condition_detected,4,,0,0,253840,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
260970,에스앤디,e499e66048c94c15a006aefe6f241a1f,1,260970,단테떡상이;단테떡상이_수정,analysis_only,2026-05-15 12:59:29,2026-05-15 14:36:14,61300,2026-05-15 14:31:57,candidate_lifecycle_summary,2026-05-15 14:36:14,BLOCK_AFTER_ENTRY_CUTOFF,condition_detected,16,,0,0,e499e66048c94c15a006aefe6f241a1f,candidate_id,time_policy_block_BLOCK_AFTER_ENTRY_CUTOFF,keep as time policy block; no order,expected_policy
420570,제이투케이바이오,b130ccfaccd24c91b96e7047e31ad696,1,420570,단테떡상이;단테떡상이_수정,analysis_only,2026-05-15 12:30:16,2026-05-15 12:31:11,10530,2026-05-15 12:30:17,candidate_lifecycle_summary,2026-05-15 12:31:11,ALLOW_MANAGE_ONLY,condition_detected,5,,0,0,b130ccfaccd24c91b96e7047e31ad696,candidate_id,time_policy_block_ALLOW_MANAGE_ONLY,keep as time policy block; no order,expected_policy
443060,HD현대마린솔루션,,0,443060,단테떡상이_수정,analysis_only,2026-05-15 10:34:56,2026-05-15 10:34:56,,,,2026-05-15 10:34:56,ALLOW_MANAGE_ONLY,condition_detected,1,,0,0,443060,symbol,analysis_only_not_registered,analysis_only_sample; no live entry,expected_policy
