theme_name,code,role,name,market,first_detected_at,last_detected_at,detected_count,condition_names
,000370,,한화손해보험,KOSPI,2026-05-18 09:36:58,2026-05-18 11:24:46,23,단테떡상이;단테떡상이_수정
,000650,,천일고속,KOSPI,2026-05-18 09:08:34,2026-05-18 09:14:55,11,단테떡상이_수정
,001430,,세아베스틸지주,KOSPI,2026-05-18 13:11:51,2026-05-18 13:11:51,2,단테떡상이_수정
,001450,,현대해상,KOSPI,2026-05-18 09:00:37,2026-05-18 09:06:27,6,단테떡상이;단테떡상이_수정
,001540,,안국약품,KOSDAQ,2026-05-18 10:19:09,2026-05-18 10:21:51,3,단테떡상이_수정
,001740,,SK네트웍스,KOSPI,2026-05-18 09:04:00,2026-05-18 09:24:55,6,단테떡상이_수정
,003280,,흥아해운,KOSPI,2026-05-18 09:07:03,2026-05-18 09:23:03,15,단테떡상이_수정
,003690,,코리안리,KOSPI,2026-05-18 10:28:14,2026-05-18 10:28:28,8,단테떡상이;단테떡상이_수정
,004590,,한국가구,,2026-05-18 11:20:35,2026-05-18 11:29:01,6,단테떡상이_수정
,005290,,동진쎄미켐,,2026-05-18 11:29:26,2026-05-18 12:44:56,15,단테떡상이;단테떡상이_수정
,005500,,삼진제약,,2026-05-18 11:57:10,2026-05-18 11:59:13,3,단테떡상이_수정
,005880,,대한해운,,2026-05-18 12:12:08,2026-05-18 12:13:21,4,단테떡상이_수정
,005950,,이수화학,KOSPI,2026-05-18 09:03:37,2026-05-18 09:05:54,3,단테떡상이_수정
,007610,,선도전기,,2026-05-18 10:32:52,2026-05-18 10:39:24,7,단테떡상이;단테떡상이_수정
,009830,,한화솔루션,,2026-05-18 14:49:26,2026-05-18 14:49:27,2,단테떡상이_수정
,010060,,OCI홀딩스,KOSPI,2026-05-18 09:52:48,2026-05-18 09:54:54,3,단테떡상이_수정
,010780,,아이에스동서,KOSPI,2026-05-18 09:38:16,2026-05-18 09:38:17,3,단테떡상이;단테떡상이_수정
,011200,,HMM,KOSPI,2026-05-18 13:19:49,2026-05-18 13:19:49,2,단테떡상이_수정
,011790,,SKC,KOSPI,2026-05-18 14:08:59,2026-05-18 14:08:59,2,단테떡상이_수정
,012800,,대창,KOSPI,2026-05-18 14:06:29,2026-05-18 14:07:50,14,단테떡상이;단테떡상이_수정
,014620,,성광벤드,,2026-05-18 11:16:46,2026-05-18 11:16:46,1,단테떡상이_수정
,017510,,세명전기,,2026-05-18 10:58:31,2026-05-18 10:58:31,1,단테떡상이_수정
,017900,,광전자,,2026-05-18 10:48:12,2026-05-18 10:52:41,16,단테떡상이;단테떡상이_수정
,019180,,티에이치엔,KOSPI,2026-05-18 10:32:36,2026-05-18 14:08:35,10,단테떡상이_수정
,019210,,와이지-원,KOSDAQ,2026-05-18 09:02:41,2026-05-18 13:49:50,8,단테떡상이;단테떡상이_수정
,027360,,아주IB투자,KOSDAQ,2026-05-18 09:03:20,2026-05-18 09:08:23,13,단테떡상이;단테떡상이_수정
,033160,,엠케이전자,KOSDAQ,2026-05-18 13:01:27,2026-05-18 13:04:49,8,단테떡상이_수정
,033790,,피노,KOSDAQ,2026-05-18 09:08:35,2026-05-18 09:09:59,6,단테떡상이_수정
,035890,,서희건설,KOSDAQ,2026-05-18 10:23:39,2026-05-18 10:23:39,2,단테떡상이_수정
,036930,,주성엔지니어링,KOSDAQ,2026-05-18 09:00:19,2026-05-18 09:08:01,8,단테떡상이;단테떡상이_수정
,037460,,삼지전자,KOSDAQ,2026-05-18 09:02:59,2026-05-18 09:05:33,13,단테떡상이;단테떡상이_수정
,038500,,삼표시멘트,KOSDAQ,2026-05-18 09:02:10,2026-05-18 09:08:24,17,단테떡상이;단테떡상이_수정
,041930,,SY동아,KOSDAQ,2026-05-18 13:11:41,2026-05-18 13:12:28,4,단테떡상이_수정
,042520,,한스바이오메드,KOSDAQ,2026-05-18 12:58:08,2026-05-18 13:00:37,7,단테떡상이;단테떡상이_수정
,044380,,주연테크,,2026-05-18 09:07:50,2026-05-18 09:07:50,2,단테떡상이
,047040,,대우건설,KOSPI,2026-05-18 13:14:02,2026-05-18 14:48:42,26,단테떡상이;단테떡상이_수정
,047080,,한빛소프트,KOSDAQ,2026-05-18 13:27:13,2026-05-18 13:28:06,10,단테떡상이_수정
,053610,,프로텍,,2026-05-18 12:53:36,2026-05-18 12:58:47,2,단테떡상이_수정
,055490,,테이팩스,,2026-05-18 12:34:21,2026-05-18 12:35:55,12,단테떡상이
,059270,,해성에어로보틱스,,2026-05-18 14:37:46,2026-05-18 14:37:46,1,단테떡상이_수정
,061970,,LB세미콘,KOSDAQ,2026-05-18 09:07:55,2026-05-18 09:47:30,39,단테떡상이;단테떡상이_수정
,066430,,아이로보틱스,KOSDAQ,2026-05-18 09:02:30,2026-05-18 09:03:56,11,단테떡상이_수정
,078600,,대주전자재료,KOSDAQ,2026-05-18 09:22:54,2026-05-18 09:26:52,3,단테떡상이_수정
,082920,,비츠로셀,,2026-05-18 11:13:40,2026-05-18 11:14:01,5,단테떡상이_수정
,084110,,휴온스글로벌,,2026-05-18 11:45:57,2026-05-18 12:47:52,9,단테떡상이_수정
,084670,,동양고속,KOSPI,2026-05-18 09:03:41,2026-05-18 09:14:56,21,단테떡상이;단테떡상이_수정
,088350,,한화생명,KOSPI,2026-05-18 09:00:33,2026-05-18 11:28:57,20,단테떡상이;단테떡상이_수정
,091580,,상신이디피,,2026-05-18 12:45:05,2026-05-18 12:50:13,6,단테떡상이;단테떡상이_수정
,093370,,후성,,2026-05-18 10:49:09,2026-05-18 10:49:09,1,단테떡상이_수정
,095910,,에스에너지,,2026-05-18 12:57:33,2026-05-18 12:57:33,3,단테떡상이;단테떡상이_수정
,098070,,한텍,KOSDAQ,2026-05-18 13:14:01,2026-05-18 13:14:01,3,단테떡상이;단테떡상이_수정
,100790,,미래에셋벤처투자,KOSDAQ,2026-05-18 09:02:32,2026-05-18 14:01:32,27,단테떡상이;단테떡상이_수정
,105840,,우진,,2026-05-18 11:44:00,2026-05-18 12:04:22,3,단테떡상이_수정
,110990,,디아이티,,2026-05-18 12:24:37,2026-05-18 12:48:43,6,단테떡상이;단테떡상이_수정
,123330,,제닉,,2026-05-18 14:46:00,2026-05-18 14:48:26,2,단테떡상이_수정
,128820,,대성산업,KOSPI,2026-05-18 09:09:35,2026-05-18 09:11:33,13,단테떡상이;단테떡상이_수정
,139480,,이마트,KOSPI,2026-05-18 14:08:47,2026-05-18 14:08:47,2,단테떡상이_수정
,178320,,서진시스템,KOSDAQ,2026-05-18 09:01:31,2026-05-18 11:29:49,20,단테떡상이;단테떡상이_수정
,194700,,노바렉스,KOSDAQ,2026-05-18 13:03:59,2026-05-18 13:03:59,2,단테떡상이_수정
,204270,,제이앤티씨,KOSDAQ,2026-05-18 09:05:18,2026-05-18 09:08:06,19,단테떡상이;단테떡상이_수정
,211270,,AP위성,KOSDAQ,2026-05-18 09:23:21,2026-05-18 09:32:24,4,단테떡상이_수정
,212710,,아이에스티이,KOSDAQ,2026-05-18 13:13:05,2026-05-18 14:43:55,23,단테떡상이;단테떡상이_수정
,214320,,이노션,,2026-05-18 12:33:44,2026-05-18 12:38:27,15,단테떡상이;단테떡상이_수정
,217730,,강스템바이오텍,,2026-05-18 11:09:49,2026-05-18 11:14:59,2,단테떡상이_수정
,221800,,지구홀딩스,KOSDAQ,2026-05-18 13:41:33,2026-05-18 14:08:08,4,단테떡상이;단테떡상이_수정
,225190,,LK삼양,KOSDAQ,2026-05-18 09:43:01,2026-05-18 09:43:01,2,단테떡상이_수정
,244920,,에이플러스에셋,,2026-05-18 14:27:33,2026-05-18 14:29:04,4,단테떡상이_수정
,253840,,수젠텍,KOSDAQ,2026-05-18 09:02:13,2026-05-18 12:41:51,23,단테떡상이;단테떡상이_수정
,274090,,켄코아에어로스페이스,KOSDAQ,2026-05-18 09:08:43,2026-05-18 09:26:40,8,단테떡상이;단테떡상이_수정
,281820,,케이씨텍,KOSPI,2026-05-18 12:58:11,2026-05-18 13:08:50,8,단테떡상이_수정
,295310,,에이치브이엠,,2026-05-18 14:42:23,2026-05-18 14:44:58,18,단테떡상이
,318060,,그래피,KOSDAQ,2026-05-18 10:13:58,2026-05-18 10:14:48,3,단테떡상이_수정
,321370,,센서뷰,KOSDAQ,2026-05-18 09:08:05,2026-05-18 09:08:05,3,단테떡상이;단테떡상이_수정
,322000,,HD현대에너지솔루션,KOSPI,2026-05-18 10:27:20,2026-05-18 13:59:47,24,단테떡상이_수정
,332570,,PS일렉트로닉스,KOSDAQ,2026-05-18 09:01:28,2026-05-18 09:01:28,2,단테떡상이_수정
,355150,,코스텍시스,KOSDAQ,2026-05-18 09:22:16,2026-05-18 09:23:17,5,단테떡상이_수정
,361390,,제노코,KOSDAQ,2026-05-18 10:04:27,2026-05-18 10:54:02,5,단테떡상이_수정
,380550,,뉴로핏,KOSDAQ,2026-05-18 13:36:45,2026-05-18 13:43:52,13,단테떡상이;단테떡상이_수정
,393890,,더블유씨피,KOSDAQ,2026-05-18 10:24:35,2026-05-18 13:19:55,10,단테떡상이;단테떡상이_수정
,394420,,리센스메디컬,,2026-05-18 11:19:39,2026-05-18 11:19:39,1,단테떡상이_수정
,403550,,쏘카,,2026-05-18 12:04:10,2026-05-18 12:06:21,2,단테떡상이_수정
,403870,,HPSP,KOSDAQ,2026-05-18 09:03:03,2026-05-18 11:13:42,7,단테떡상이;단테떡상이_수정
,412350,,레이저쎌,KOSDAQ,2026-05-18 10:08:53,2026-05-18 10:08:58,4,단테떡상이;단테떡상이_수정
,417500,,제이아이테크,KOSDAQ,2026-05-18 14:17:52,2026-05-18 14:18:19,9,단테떡상이;단테떡상이_수정
,417840,,저스템,KOSDAQ,2026-05-18 09:27:25,2026-05-18 09:59:51,7,단테떡상이;단테떡상이_수정
,425040,,티이엠씨,KOSDAQ,2026-05-18 09:29:49,2026-05-18 13:14:53,18,단테떡상이;단테떡상이_수정
,443060,,HD현대마린솔루션,,2026-05-18 11:31:52,2026-05-18 12:07:29,8,단테떡상이;단테떡상이_수정
,446540,,메가터치,KOSDAQ,2026-05-18 09:09:14,2026-05-18 09:09:14,3,단테떡상이;단테떡상이_수정
,451760,,컨텍,KOSDAQ,2026-05-18 10:03:33,2026-05-18 10:03:33,2,단테떡상이_수정
,458650,,성우,,2026-05-18 10:57:00,2026-05-18 10:59:21,2,단테떡상이_수정
,460860,,동국제강,,2026-05-18 11:22:57,2026-05-18 11:22:57,1,단테떡상이_수정
,462350,,이노스페이스,KOSDAQ,2026-05-18 09:24:14,2026-05-18 10:03:43,7,단테떡상이_수정
,474170,,루미르,KOSDAQ,2026-05-18 09:34:33,2026-05-18 14:29:59,10,단테떡상이_수정
,490470,,세미파이브,KOSDAQ,2026-05-18 09:01:21,2026-05-18 09:07:16,10,단테떡상이;단테떡상이_수정
